song_id,artist,album,song,spotify_track_link,spotify_img_link,uri,timestamp,short_day,long_day,time_of_day,context_uri,context_link,context_name
69,Azealia Banks,Broke with Expensive Taste,Luxury,https://open.spotify.com/track/7IzN1BfaQ8fmTHYPRPhNws,https://i.scdn.co/image/ab67616d0000b273b5efe29cb31508624b9f59d5,spotify:track:7IzN1BfaQ8fmTHYPRPhNws,2021-12-21T22:39:32.026Z,12/21/2021,"Dec 21, 2021",22:39,spotify:playlist:3u2lnRpZzIhXWwT3uABqbX,https://open.spotify.com/playlist/3u2lnRpZzIhXWwT3uABqbX?sessionId=072bdff2ff905c1d9d7c6e64314e12a3&mode=enhanced,running playlist 🙈😝
70,Bladee,Drama (feat. Charli XCX),Drama (feat. Charli XCX),https://open.spotify.com/track/3VzW3IXIwEvZ0HcKZEFZjJ,https://i.scdn.co/image/ab67616d0000b2738600827e3589239d3e5b7816,spotify:track:3VzW3IXIwEvZ0HcKZEFZjJ,2021-12-21T22:35:36.027Z,12/21/2021,"Dec 21, 2021",22:35,spotify:playlist:3u2lnRpZzIhXWwT3uABqbX,https://open.spotify.com/playlist/3u2lnRpZzIhXWwT3uABqbX?sessionId=072bdff2ff905c1d9d7c6e64314e12a3&mode=enhanced,running playlist 🙈😝
71,Flo Milli,"Ho, why is you here ?",May I,https://open.spotify.com/track/1GcXzijYzyfMq6wryZjYW5,https://i.scdn.co/image/ab67616d0000b2733ae4c6b039dd0433a53631bb,spotify:track:1GcXzijYzyfMq6wryZjYW5,2021-12-21T22:33:35.245Z,12/21/2021,"Dec 21, 2021",22:33,spotify:playlist:3u2lnRpZzIhXWwT3uABqbX,https://open.spotify.com/playlist/3u2lnRpZzIhXWwT3uABqbX?sessionId=072bdff2ff905c1d9d7c6e64314e12a3&mode=enhanced,running playlist 🙈😝
72,Charli XCX,New Shapes (feat. Christine and the Queens and Caroline Polachek),New Shapes (feat. Christine and the Queens and Caroline Polachek),https://open.spotify.com/track/2JvWoj5bTklsb6fPzRfZ3x,https://i.scdn.co/image/ab67616d0000b273adf0ad39a8ba7c2b2cacc304,spotify:track:2JvWoj5bTklsb6fPzRfZ3x,2021-12-21T22:30:51.578Z,12/21/2021,"Dec 21, 2021",22:30,spotify:playlist:3u2lnRpZzIhXWwT3uABqbX,https://open.spotify.com/playlist/3u2lnRpZzIhXWwT3uABqbX?sessionId=072bdff2ff905c1d9d7c6e64314e12a3&mode=enhanced,running playlist 🙈😝
81,Brooke Candy,SEXORCISM,FMU (feat. Rico Nasty),https://open.spotify.com/track/5AD8DWoQa4NGe2WagH4YF2,https://i.scdn.co/image/ab67616d0000b2736430eb05a9d61d7aaf4bd378,spotify:track:5AD8DWoQa4NGe2WagH4YF2,2021-12-21T23:24:00.720Z,12/21/2021,"Dec 21, 2021",23:24,spotify:playlist:3u2lnRpZzIhXWwT3uABqbX,https://open.spotify.com/playlist/3u2lnRpZzIhXWwT3uABqbX?sessionId=072bdff2ff905c1d9d7c6e64314e12a3&mode=enhanced,running playlist 🙈😝
82,That Kid,Dial Tone,Dial Tone,https://open.spotify.com/track/4l5PZhHAxCnq5EAOdN0Clh,https://i.scdn.co/image/ab67616d0000b273f015176ed1d1dac6aaea9046,spotify:track:4l5PZhHAxCnq5EAOdN0Clh,2021-12-21T23:21:01.619Z,12/21/2021,"Dec 21, 2021",23:21,spotify:playlist:3u2lnRpZzIhXWwT3uABqbX,https://open.spotify.com/playlist/3u2lnRpZzIhXWwT3uABqbX?sessionId=072bdff2ff905c1d9d7c6e64314e12a3&mode=enhanced,running playlist 🙈😝
83,COBRAH,U KNOW ME,U KNOW ME,https://open.spotify.com/track/4lhacsOEAkfReGmzFJhwm2,https://i.scdn.co/image/ab67616d0000b27393accebefde5d483fe5f29b4,spotify:track:4lhacsOEAkfReGmzFJhwm2,2021-12-21T23:17:29.968Z,12/21/2021,"Dec 21, 2021",23:17,spotify:playlist:3u2lnRpZzIhXWwT3uABqbX,https://open.spotify.com/playlist/3u2lnRpZzIhXWwT3uABqbX?sessionId=072bdff2ff905c1d9d7c6e64314e12a3&mode=enhanced,running playlist 🙈😝
89,Flo Milli,"Ho, why is you here ?",Scuse Me,https://open.spotify.com/track/2jcZ0bbc2wLXiaBstKq2eJ,https://i.scdn.co/image/ab67616d0000b2733ae4c6b039dd0433a53631bb,spotify:track:2jcZ0bbc2wLXiaBstKq2eJ,2021-12-22T00:07:26.912Z,12/22/2021,"Dec 22, 2021",00:07,spotify:playlist:3u2lnRpZzIhXWwT3uABqbX,https://open.spotify.com/playlist/3u2lnRpZzIhXWwT3uABqbX?sessionId=072bdff2ff905c1d9d7c6e64314e12a3&mode=enhanced,running playlist 🙈😝
90,Arca,KiCk i,KLK,https://open.spotify.com/track/2ZFu40Ik8VsUE9H87W0MmZ,https://i.scdn.co/image/ab67616d0000b2738c894fac3d113f98885d3117,spotify:track:2ZFu40Ik8VsUE9H87W0MmZ,2021-12-22T00:04:42.785Z,12/22/2021,"Dec 22, 2021",00:04,spotify:playlist:3u2lnRpZzIhXWwT3uABqbX,https://open.spotify.com/playlist/3u2lnRpZzIhXWwT3uABqbX?sessionId=072bdff2ff905c1d9d7c6e64314e12a3&mode=enhanced,running playlist 🙈😝
91,Cobra Starship,Hot Mess,Good Girls Go Bad (feat. Leighton Meester),https://open.spotify.com/track/7kMfu3KUydmrFVGEAhjtyl,https://i.scdn.co/image/ab67616d0000b273c83d25c1b9d5f384c32d834a,spotify:track:7kMfu3KUydmrFVGEAhjtyl,2021-12-22T01:44:28.183Z,12/22/2021,"Dec 22, 2021",01:44,spotify:playlist:3u2lnRpZzIhXWwT3uABqbX,https://open.spotify.com/playlist/3u2lnRpZzIhXWwT3uABqbX?sessionId=072bdff2ff905c1d9d7c6e64314e12a3&mode=enhanced,running playlist 🙈😝
